Rank,County,PerCapitaIncome,MedianHouseholdIncome,MedianFamilyIncome,Population,NumberofHouseholds
1,New York,111386,64971,75629,1585873,763846
2,Westchester,73159,79619,100863,949113,347232
3,Nassau,41387,93613,107934,1339532,448528
4,Putnam,37915,89218,101576,99710,35041
5,Suffolk,35755,84506,96220,1493350,499922
6,Rockland,34304,82534,96836,311687,99242
7,Saratoga,32186,65100,81251,219607,88296
8,Columbia,31844,55546,69132,63096,25906
9,Dutchess,31642,69838,83599,297488,107965
10,Albany,30863,56090,76159,304204,126251
11,Richmond,30843,71084,83264,468730,165516
12,Hamilton,29965,49557,59911,4836,2262
13,Ulster,28954,57584,70513,182493,71049
14,Ontario,28950,56468,69877,107931,43019
15,Orange,28944,69523,82480,372813,125925
16,Warren,27744,51619,64195,65707,27990
17,Schenectady,27500,55188,70712,154727,62886
18,Rensselaer,27457,54152,68390,159429,64702
19,Onondaga,27037,50676,65929,467026,187686
20,Monroe,26999,51303,65240,744344,300422
21,Erie,26378,47372,63404,919040,383164
22,Tompkins,25737,48655,72231,101564,38967
23,Queens,25553,55291,62459,2230722,780117
24,Schoharie,25105,50864,61828,32749,13166
25,Tioga,24596,51948,59907,51125,20350
26,Essex,24390,45216,55781,39370,16262
27,Genesee,24323,49750,60127,60079,23728
28,Broome,24314,44457,57545,200600,82167
29,Madison,24311,53345,61828,73442,27754
30,Niagara,24224,45964,59471,216469,90556
31,Wayne,24092,52562,60324,93772,36585
32,Kings,23605,43567,48777,2504700,916856
33,Greene,23461,46235,55260,49221,19823
34,Oneida,23458,46708,58017,234878,93028
35,Chemung,23457,44502,55246,88830,35462
36,Sullivan,23422,48103,57388,77547,30139
37,Steuben,23279,43867,52867,98990,40344
38,Yates,23255,46822,56538,25348,9517
39,Fulton,23147,43240,50425,55531,22554
40,Cayuga,22959,48415,58761,80026,31445
41,Delaware,22928,42967,53590,47980,19898
42,Livingston,22923,51690,63539,65393,24409
43,Otsego,22902,45268,56797,62259,24620
44,Clinton,22660,47489,60280,82128,31582
45,Montgomery,22347,42603,53476,50219,20272
46,Washington,22347,48327,57360,63216,24142
47,Schuyler,22123,47404,54322,18343,7530
48,Cortland,22078,45338,57743,49336,18671
49,Chenango,22036,43943,52229,50477,20436
50,Herkimer,21908,42318,53288,64519,26324
51,Jefferson,21823,43410,51834,116229,43451
52,Seneca,21818,46707,53857,35251,13393
53,Oswego,21604,45333,56364,122109,46400
54,Chautauqua,21033,40639,51031,134905,54244
55,Lewis,20970,42846,49554,27087,10514
56,Cattaraugus,20824,42466,51227,80317,32263
57,Orleans,20812,48063,58535,42883,16119
58,Wyoming,20605,50075,58009,42155,15501
59,Saint Lawrence,20143,42303,50384,111944,41605
60,Allegany,20058,41305,49864,48946,18208
61,Franklin,19807,42050,50816,51599,19054
62,Bronx,17575,34264,38431,1385108,483449
